"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","01-Jun-2015","       2023.15","       2032.80","       2064.00","       2023.25","       2042.00","       2047.80","       2048.10","    1431223","      29312.85","      62717","    1029588","         71.94"
"INFY","EQ","02-Jun-2015","       2047.80","       2048.10","       2055.10","       2005.00","       2013.00","       2008.65","       2018.63","    1168285","      23583.32","      67384","     793960","         67.96"
"INFY","EQ","03-Jun-2015","       2008.65","       2018.20","       2039.45","       2008.00","       2032.00","       2020.90","       2019.78","    1373949","      27750.68","      50402","     824814","         60.03"
"INFY","EQ","04-Jun-2015","       2020.90","       2030.00","       2055.00","       2012.60","       2028.10","       2028.05","       2036.59","    1872366","      38132.50","      98562","    1395596","         74.54"
"INFY","EQ","05-Jun-2015","       2028.05","       2030.00","       2044.00","       2008.15","       2011.50","       2011.65","       2020.89","    1531447","      30948.83","      61438","    1014160","         66.22"
"INFY","EQ","08-Jun-2015","       2011.65","       2020.00","       2024.65","       1987.00","       2002.00","       2000.05","       2000.16","    1535262","      30707.69","      59889","    1161814","         75.68"
"INFY","EQ","09-Jun-2015","       2000.05","       2003.75","       2007.65","       1983.00","       1990.55","       1992.10","       1992.62","    1890435","      37669.11","      81812","    1549457","         81.96"
"INFY","EQ","10-Jun-2015","       1992.10","       1990.00","       2039.35","       1985.00","       2027.00","       2026.50","       2012.03","    1596460","      32121.23","      76174","    1040342","         65.17"
"INFY","EQ","11-Jun-2015","       2026.50","       2035.95","       2044.75","       1995.05","       2000.00","       1997.65","       2010.91","    2307366","      46399.07","      69953","    1541863","         66.82"
"INFY","EQ","12-Jun-2015","       1997.65","       2005.00","       2025.55","       1955.50","       1978.05","       1975.05","       1991.32","    2463231","      49050.86","     104931","    1463562","         59.42"
"INFY","EQ","15-Jun-2015","       1975.05","        976.95","        998.80","        968.00","        994.00","        990.45","        990.17","    2618213","      25924.87","      84843","    1444754","         55.18"
"INFY","EQ","16-Jun-2015","        990.45","        994.35","       1003.00","        985.00","        998.00","        999.35","        995.31","    2611722","      25994.83","      75473","    1962337","         75.14"
"INFY","EQ","17-Jun-2015","        999.35","       1011.00","       1021.00","        992.20","        997.20","        995.70","       1002.05","    3206034","      32126.15","      73928","    1703033","         53.12"
"INFY","EQ","18-Jun-2015","        995.70","       1005.60","       1007.95","        995.80","       1000.05","       1001.95","       1001.70","    1737213","      17401.63","      40621","    1143722","         65.84"
"INFY","EQ","19-Jun-2015","       1001.95","       1010.30","       1010.40","        993.10","        997.00","        995.35","        998.90","    3335229","      33315.54","      97129","    2599496","         77.94"
"INFY","EQ","22-Jun-2015","        995.35","       1004.90","       1028.75","        997.00","       1022.70","       1023.85","       1011.41","    2855434","      28880.03","     133708","    1721657","         60.29"
"INFY","EQ","23-Jun-2015","       1023.85","       1025.00","       1027.40","        998.15","       1001.45","       1000.40","       1004.30","    3476058","      34909.95","     119559","    2467215","         70.98"
"INFY","EQ","24-Jun-2015","       1000.40","       1015.00","       1015.00","        991.20","        995.10","        995.10","       1002.00","    3536847","      35439.31","      74881","    2630595","         74.38"
"INFY","EQ","25-Jun-2015","        995.10","        999.20","       1003.50","        987.65","        993.35","        990.45","        993.86","    3558733","      35368.92","      75358","    2394368","         67.28"
"INFY","EQ","26-Jun-2015","        990.45","        999.00","       1011.60","        998.10","       1005.90","       1005.25","       1005.91","    2660142","      26758.55","      63866","    1712608","         64.38"
"INFY","EQ","29-Jun-2015","       1005.25","        987.00","        999.50","        982.50","        990.40","        990.15","        989.98","    2845334","      28168.30","      76492","    2125823","         74.71"
"INFY","EQ","30-Jun-2015","        990.15","        990.00","        993.45","        980.00","        987.50","        984.35","        986.73","    3106265","      30650.47","      71225","    2281573","         73.45"
"INFY","EQ","01-Jul-2015","        984.35","        989.00","       1005.00","        986.00","        998.95","        997.40","        995.12","    3440426","      34236.48","      80010","    2461395","         71.54"
"INFY","EQ","02-Jul-2015","        997.40","        999.00","       1001.40","        985.05","        988.50","        988.00","        989.52","    2003784","      19827.78","      78544","    1336220","         66.68"
"INFY","EQ","03-Jul-2015","        988.00","        988.00","        993.00","        982.00","        990.40","        990.30","        989.70","    1347653","      13337.78","      35728","     855211","         63.46"
"INFY","EQ","06-Jul-2015","        990.30","        985.00","        988.00","        975.00","        981.75","        983.30","        981.33","    2152801","      21126.08","      60404","    1475832","         68.55"
"INFY","EQ","07-Jul-2015","        983.30","        985.00","        990.00","        979.00","        981.00","        980.50","        985.00","    1748709","      17224.76","      58985","    1256080","         71.83"
"INFY","EQ","08-Jul-2015","        980.50","        979.00","        979.00","        954.80","        957.45","        957.50","        962.49","    3512089","      33803.34","     109474","    2565864","         73.06"
"INFY","EQ","09-Jul-2015","        957.50","        957.50","        966.00","        934.05","        940.25","        938.00","        942.64","    4293886","      40476.09","     138299","    2935843","         68.37"
"INFY","EQ","10-Jul-2015","        938.00","        948.10","        952.10","        932.65","        935.50","        937.50","        941.18","    3705761","      34878.07","     134681","    2959698","         79.87"
"INFY","EQ","13-Jul-2015","        937.50","        941.00","        955.00","        934.05","        950.60","        950.15","        945.97","    3265884","      30894.17","      84133","    2399679","         73.48"
"INFY","EQ","14-Jul-2015","        950.15","        955.00","        973.50","        945.50","        970.00","        971.25","        961.36","    2683537","      25798.56","      76138","    1776741","         66.21"
"INFY","EQ","15-Jul-2015","        971.25","        970.00","        985.95","        968.00","        984.45","        984.00","        980.66","    2064783","      20248.41","      74801","    1311520","         63.52"
"INFY","EQ","16-Jul-2015","        984.00","        987.70","        991.50","        979.50","        990.00","        989.05","        987.36","    1736469","      17145.18","      52615","     995275","         57.32"
"INFY","EQ","17-Jul-2015","        989.05","        991.00","       1004.50","        989.10","        999.75","       1001.85","        997.46","    1723989","      17196.15","      59447","    1003912","         58.23"
"INFY","EQ","20-Jul-2015","       1001.85","       1001.40","       1010.80","        987.40","        997.00","       1001.25","        998.95","    2188590","      21862.86","      74145","    1054982","         48.20"
"INFY","EQ","21-Jul-2015","       1001.25","       1035.00","       1149.00","       1035.00","       1116.35","       1112.65","       1099.62","   19155056","     210633.65","     408583","    9575992","         49.99"
"INFY","EQ","22-Jul-2015","       1112.65","       1105.00","       1112.00","       1076.65","       1100.00","       1103.15","       1100.68","    6332830","      69704.14","     221999","    3840750","         60.65"
"INFY","EQ","23-Jul-2015","       1103.15","       1103.95","       1117.00","       1090.00","       1094.45","       1098.00","       1106.23","    3855374","      42649.15","     166660","    2123663","         55.08"
"INFY","EQ","24-Jul-2015","       1098.00","       1095.55","       1106.45","       1083.10","       1088.00","       1087.60","       1090.71","    2240151","      24433.52","     100221","    1424342","         63.58"
"INFY","EQ","27-Jul-2015","       1087.60","       1086.90","       1087.95","       1060.45","       1065.00","       1065.30","       1073.34","    3376122","      36237.21","     175039","    2443586","         72.38"
"INFY","EQ","28-Jul-2015","       1065.30","       1068.50","       1076.00","       1054.25","       1066.10","       1062.85","       1066.58","    4238301","      45204.96","     150481","    2952854","         69.67"
"INFY","EQ","29-Jul-2015","       1062.85","       1074.00","       1092.00","       1065.00","       1086.00","       1085.40","       1082.68","    3535667","      38280.08","      82510","    2422852","         68.53"
"INFY","EQ","30-Jul-2015","       1085.40","       1090.00","       1090.00","       1058.00","       1073.85","       1070.00","       1077.44","    5978299","      64412.44","     122143","    4349077","         72.75"
"INFY","EQ","31-Jul-2015","       1070.00","       1078.55","       1081.35","       1060.00","       1078.50","       1077.05","       1071.55","    3965506","      42492.29","     108976","    2869410","         72.36"
"INFY","EQ","03-Aug-2015","       1077.05","       1078.00","       1092.00","       1068.95","       1075.00","       1078.95","       1078.29","    3980506","      42921.39","      85130","    3021847","         75.92"
"INFY","EQ","04-Aug-2015","       1078.95","       1078.00","       1078.95","       1051.00","       1058.55","       1057.25","       1061.33","    4549527","      48285.50","     139666","    3264905","         71.76"
"INFY","EQ","05-Aug-2015","       1057.25","       1062.00","       1090.00","       1061.95","       1086.65","       1086.35","       1080.81","    2376738","      25688.14","      70472","    1514838","         63.74"
"INFY","EQ","06-Aug-2015","       1086.35","       1094.00","       1105.50","       1077.00","       1088.00","       1086.95","       1089.08","    3619126","      39415.09","      94093","    2240358","         61.90"
