ID,NAME,REGION,CITY,m_name
2197,"Frazer, Town",central,Bangalore,
2222,Richmond Town,central,Bangalore,
7937,Ulsoor,central,Bangalore,
439,Lavelle Road,central,Bangalore,
2187,Benson Town,central,Bangalore,
2193,Cunningham Road,central,Bangalore,
2194,Cox Town,central,Bangalore,
438,M.G Road,central,Bangalore,
11628,Jeevanhalli,central,Bangalore,
12314,Shanthala Nagar,central,Bangalore,
11304,Langford Town,central,Bangalore,
2243,Richards Town,central,Bangalore,
5267,Wilson Garden,central,Bangalore,
5402,Shivaji Nagar,central,Bangalore,
5428,Palace Road,central,Bangalore,
5373,Vittal Mallya Road,central,Bangalore,
22437,Byadarahalli,central,Bangalore,
442,Richmond Road,central,Bangalore,
5263,Infantry Road,central,Bangalore,
5362,Austin Town,central,Bangalore,
16130,Lakkasandra,central,Bangalore,
2231,St. Marks Road,central,Bangalore,
5372,Kumara Park,central,Bangalore,
11370,BCC Layout,central,Bangalore,
12312,Cleveland Town,central,Bangalore,
45496,Sindhi Colony,central,Bangalore,
2191,Church Street,central,Bangalore,
2232,St. John's Road,central,Bangalore,
5361,Aga Abbas Ali Road,central,Bangalore,
5366,Halasur,central,Bangalore,
7457,Queens Road,central,Bangalore,
7952,Brunton Road,central,Bangalore,
11972,Jogupalya,central,Bangalore,
17538,Laljinagar,central,Bangalore,
436,Brigade Road,central,Bangalore,
2245,Rest House Road,central,Bangalore,
5451,Richards Park,central,Bangalore,
6774,Wheelers Road,central,Bangalore,
7940,Millers Road,central,Bangalore,
8230,Crescent Road,central,Bangalore,
11710,A N Gupta Layout,central,Bangalore,
11976,Mavalli,central,Bangalore,
22309,Someshwarpura,central,Bangalore,
22757,Langford Gardens,central,Bangalore,
24008,Upparahalli,central,Bangalore,
25283,Udani Layout,central,Bangalore,
47875,Pulkeshi Nagar,central,Bangalore,
440,Residency Road,central,Bangalore,
2233,Victoria Layout,central,Bangalore,
2242,Museum Road,central,Bangalore,
5365,Gandhi Nagar,central,Bangalore,
5368,Mosque Road,central,Bangalore,
5403,South Avenue,central,Bangalore,
5506,Cubbon Road,central,Bangalore,
6777,Avenue Road,central,Bangalore,
7954,Jaymahal Road,central,Bangalore,
8295,Sampangirama Nagar,central,Bangalore,
11218,Craig Park Layout,central,Bangalore,
11400,Victoria Road,central,Bangalore,
18820,Dodakattappa,central,Bangalore,
23179,Shamanna Gowda Layout,central,Bangalore,
23950,Elagondanpalya,central,Bangalore,
28955,Chinnayanpalya,central,Bangalore,
28957,Lakkasandra Extension,central,Bangalore,
29311,Kadiranapalya,central,Bangalore,
33865,Anugraha Layout,central,Bangalore,
35631,D Souza Layout,central,Bangalore,
42071,Haridevpur,central,Bangalore,
46623,Doddigunta,central,Bangalore,
368,Whitefield,east,Bangalore,Whitefield
2268,Sarjapur  Road,east,Bangalore,Sarjapur-Road
375,Indira Nagar,east,Bangalore,Indira-Nagar
393,Marathahalli,east,Bangalore,Marathahalli
6801,Murugeshpalya ,east,Bangalore,Murugeshpalya
5355,Kasavanhalli,east,Bangalore,Kasavanahalli
23852,Thigalarapalya,east,Bangalore,Thigalarapalya
22541,HAL 2nd Stage,east,Bangalore,HAL-Stage-2
381,Kaggadasapura,east,Bangalore,Kaggadasapura
8352,Kadugodi,east,Bangalore,Kadugodi
5356,Munnekollal,east,Bangalore,Munnekollal
11252,New Thippasandra,east,Bangalore,New-Thippasandra
397,Kundalahalli,east,Bangalore,Kundalahalli
372,CV Raman Nagar,east,Bangalore,C-V-Raman-Nagar
390,Defence Colony,east,Bangalore,Defence-Colony-Domlur
5780,Kodihalli,east,Bangalore,Kodi-halli
413,Old Madras Road,east,Bangalore,Old-Madras-Road
5457,Hoodi,east,Bangalore,Hoodi
374,Brookefield,east,Bangalore,Brooke-field
414,KR Puram,east,Bangalore,K-R-Puram
418,Kammanahalli,east,Bangalore,Kammanahalli
7958,Old Airport Road,east,Bangalore,Old-Airport-Road
11322,Varthur,east,Bangalore,Varthur
380,Ramamurthy Nagar,east,Bangalore,Ramamurthy-Nagar
410,GM Palaya,east,Bangalore,GM-Palya
394,Domlur,east,Bangalore,Domlur
7963,Haralur Road,east,Bangalore,Haralur-Road
11254,Panathur,east,Bangalore,Panathur
11380,Kadubeesanahalli,east,Bangalore,Kadubeesanahalli
379,Vignana Nagar,east,Bangalore,Vignana-Nagar
44119,Ambedkar Nagar,east,Bangalore,Ambedkar-Nagar
384,Malleshpalya,east,Bangalore,Malleshpalya
15896,Ambalipura,east,Bangalore,Ambalipura
23906,Lakshminarayana Pura,east,Bangalore,Lakshminarayana-Pura
400,Kasturi Nagar,east,Bangalore,Kasturi-Nagar
11824,EPIP Zone,east,Bangalore,EPIP-Zone
389,Mahadevpura,east,Bangalore,Mahadevapura
11256,Sarjapur,east,Bangalore,Sarjapur
22543,Vinayaka Nagar,east,Bangalore,
386,Cooke Town,east,Bangalore,Cooke-Town
11606,Kaverappa Layout,east,Bangalore,Kaverappa-Layout
371,Banaswadi,east,Bangalore,Banaswadi
7343,TC Palaya,east,Bangalore,
11048,CMH Road,east,Bangalore,
29267,Chelekare,east,Bangalore,Chelekare
46117,Ardendale,east,Bangalore,
409,AECS Layout,east,Bangalore,AECS-Layout
5261,Jeevan bima nagar,east,Bangalore,Jeevan-bima-nagar
45775,Gopalkrishna Nagar,east,Bangalore,
7961,Hoskote,east,Bangalore,Hoskote
11580,Nallurhalli,east,Bangalore,Nallurhalli
17246,Bhoganhalli,east,Bangalore,Bhoganhalli
403,Cambridge Layout,east,Bangalore,Cambridge-Layout
46480,Indira Nagar Stage 2,east,Bangalore,Indira-Nagar-Stage-2
11246,Dodda Banaswadi,east,Bangalore,Dodda-Banaswadi
34019,1st Block HRBR Layout,east,Bangalore,HRBR layout Block 1
39726,Doddanekundi,east,Bangalore,Doddanekundi
45837,Kodigehalli,east,Bangalore,Kodigehalli
11376,B Narayanapura,east,Bangalore,B-Narayanapura
11998,Kannamangala,east,Bangalore,Kannamangala
15214,Dodda Nekkundi,east,Bangalore,Dodda-Nekkundi
17276,Seetharampalya,east,Bangalore,Seetharampalya
421,OMBR Layout,east,Bangalore,OMBR-Layout
7960,NRI Layout,east,Bangalore,NRI-Layout
11826,Battarahalli,east,Bangalore,Battarahalli
23840,KR Garden,east,Bangalore,
47191,Basavanagara,east,Bangalore,
11392,Konena Agrahara,east,Bangalore,
28637,Siddapura,east,Bangalore,
8325,Wind Tunnel Road,east,Bangalore,Wind-Tunnel-Road
11992,Ramagondanahalli,east,Bangalore,Ramagondanahalli
415,ITPL,east,Bangalore,ITPL
5260,HBR Layout,east,Bangalore,HBR-Layout
11384,Garudachar Palya,east,Bangalore,Garudachar-Palya
11904,Hagadur,east,Bangalore,Hagadur
18290,Immadihalli,east,Bangalore,Immadihalli
416,Outer Ring Road East,east,Bangalore,
5504,Lingarajapuram,east,Bangalore,Lingarajapuram
8339,Yemlur,east,Bangalore,
22238,HAL 3rd Stage,east,Bangalore,
22411,Sathya Sai Layout,east,Bangalore,Sathya-Sai-Layout
25477,2nd Block Hrbr Layout,east,Bangalore,HRBR-layout-Block-2
