Order_Number	Customer_ID	Product_ID	Unit_Price	Quantity	Date
#521813	ericzhang	P41405	2.8	10	2/9/2015
#591489	winwin	S46941	1.5	21	2/16/2015
#542475	sharpe	W29696	1.75	18	2/28/2015
#360413	larynss	P32228	0.5	15	3/4/2015
#660006	theresiaTT	S15037	1.75	36	3/8/2015
#447752	GladysJ	P41405	2.8	8	3/14/2015
#680157	Smegaera	S15037	1.75	5	3/15/2015
#509008	eckbertback	T29643	1.25	7	4/3/2015
#482369	SsanyuWu	S10125	2.15	12	4/29/2015
#655982	VeronikaA	P41405	2.8	7	4/30/2015
#512195	Xenocrates	T29643	1.25	8	5/1/2015
#515615	Israel	W29696	1.75	12	5/7/2015
#361749	hovsepp	S15037	1.75	12	7/28/2015
#433771	CupidB	S10125	2.15	10	8/5/2015
#478064	DemetriosH	W36561	0.78	24	8/8/2015
#338782	Eliotc	T22774	3.5	6	9/30/2015
#321918	annelisez	P33068	2.18	12	10/17/2015
#560793	gwydion77	Z21312	0.75	5	10/22/2015
#437147	athelstane	T29643	1.25	10	11/18/2015
#526648	NolanN	S15037	1.75	6	12/6/2015
